,state,random,RNNTestcov,Stellarbscov,Stellarbtcov,testRNNsc,testRNNsc_cam,nc_ctm,nc_cam,my
0,0.0011173184357541898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0335195530726257,0.0067039106145251395,0.01899441340782123,0.01005586592178771,0.00782122905027933,0.01452513966480447,0.0111731843575419,0.0067039106145251395,0.0067039106145251395,0.0223463687150838
2,0.05027932960893855,0.01675977653631285,0.0335195530726257,0.021229050279329607,0.01564245810055866,0.03128491620111732,0.01899441340782123,0.012290502793296089,0.01899441340782123,0.05251396648044693
3,0.07486033519553073,0.0446927374301676,0.05027932960893855,0.024581005586592177,0.024581005586592177,0.03687150837988827,0.03128491620111732,0.02346368715083799,0.034636871508379886,0.0782122905027933
4,0.10279329608938548,0.042458100558659215,0.0659217877094972,0.03128491620111732,0.026815642458100558,0.041340782122905026,0.05139664804469274,0.03128491620111732,0.030167597765363128,0.10279329608938548
5,0.12513966480446928,0.053631284916201116,0.08603351955307263,0.041340782122905026,0.0335195530726257,0.048044692737430165,0.04581005586592179,0.04692737430167598,0.041340782122905026,0.1318435754189944
6,0.15083798882681565,0.0659217877094972,0.09944134078212291,0.05027932960893855,0.042458100558659215,0.061452513966480445,0.049162011173184354,0.05698324022346369,0.0670391061452514,0.15418994413407822
7,0.17541899441340783,0.0782122905027933,0.11508379888268157,0.055865921787709494,0.053631284916201116,0.07262569832402235,0.05921787709497207,0.06927374301675977,0.06927374301675977,0.1787709497206704
8,0.19664804469273742,0.07932960893854749,0.12290502793296089,0.061452513966480445,0.061452513966480445,0.08603351955307263,0.08491620111731843,0.08491620111731843,0.08156424581005586,0.2011173184357542
9,0.21340782122905028,0.08826815642458101,0.13631284916201117,0.0670391061452514,0.07262569832402235,0.09720670391061452,0.09608938547486033,0.09832402234636871,0.09273743016759776,0.22346368715083798
10,0.2346368715083799,0.09944134078212291,0.15195530726256984,0.07150837988826815,0.08156424581005586,0.10726256983240223,0.09273743016759776,0.1106145251396648,0.09832402234636871,0.24916201117318434
11,0.2536312849162011,0.11396648044692738,0.17094972067039105,0.07486033519553073,0.08491620111731843,0.11955307262569832,0.09608938547486033,0.11955307262569832,0.10391061452513967,0.2748603351955307
12,0.27262569832402234,0.1106145251396648,0.18212290502793296,0.08156424581005586,0.09050279329608939,0.12960893854748604,0.12290502793296089,0.13072625698324022,0.11731843575418995,0.2994413407821229
13,0.288268156424581,0.1340782122905028,0.18994413407821228,0.08603351955307263,0.10502793296089385,0.14748603351955308,0.12960893854748604,0.1418994413407821,0.12513966480446928,0.3240223463687151
14,0.29720670391061454,0.12960893854748604,0.2011173184357542,0.09162011173184358,0.11620111731843576,0.15754189944134078,0.1418994413407821,0.15307262569832403,0.11955307262569832,0.33854748603351953
15,0.31508379888268156,0.16983240223463686,0.21564245810055865,0.09497206703910614,0.13072625698324022,0.16424581005586592,0.1463687150837989,0.16424581005586592,0.14078212290502792,0.36312849162011174
16,0.33631284916201115,0.15418994413407822,0.2245810055865922,0.09720670391061452,0.14078212290502792,0.17430167597765364,0.14748603351955308,0.17318435754189945,0.15865921787709497,0.3877094972067039
17,0.34972067039106147,0.18324022346368715,0.2324022346368715,0.10279329608938548,0.14972067039106146,0.18435754189944134,0.16983240223463686,0.18659217877094972,0.15418994413407822,0.4145251396648045
