,state,random,RNNTestcov,Stellarbscov,Stellarbtcov,testRNNsc,testRNNsc_cam,nc_ctm,nc_cam,my
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004930966469428008
1,0.01972386587771203,0.007889546351084813,0.019230769230769232,0.002465483234714004,0.0004930966469428008,0.0073964497041420114,0.008382642998027613,0.020710059171597635,0.02021696252465483,0.022189349112426034
2,0.042899408284023666,0.019230769230769232,0.038461538461538464,0.0034516765285996054,0.0029585798816568047,0.015285996055226824,0.021203155818540435,0.04487179487179487,0.03057199211045365,0.048323471400394474
3,0.0641025641025641,0.033037475345167655,0.05670611439842209,0.0039447731755424065,0.005424063116370809,0.022189349112426034,0.029585798816568046,0.0675542406311637,0.03994082840236687,0.07199211045364892
4,0.08185404339250493,0.040927021696252466,0.07248520710059171,0.004437869822485207,0.009368836291913214,0.03007889546351085,0.04388560157790927,0.08777120315581854,0.050788954635108484,0.09763313609467456
5,0.10108481262327416,0.04881656804733728,0.08875739644970414,0.005917159763313609,0.010355029585798817,0.03648915187376726,0.048323471400394474,0.10848126232741617,0.06607495069033531,0.12376725838264299
6,0.11932938856015779,0.059664694280078895,0.10552268244575937,0.00641025641025641,0.011834319526627219,0.04437869822485207,0.05374753451676528,0.126232741617357,0.07741617357001973,0.14842209072978305
7,0.1341222879684418,0.07938856015779093,0.1178500986193294,0.008382642998027613,0.015285996055226824,0.04930966469428008,0.07100591715976332,0.14102564102564102,0.07593688362919132,0.17159763313609466
8,0.15088757396449703,0.08037475345167652,0.1341222879684418,0.011834319526627219,0.01873767258382643,0.055226824457593686,0.08185404339250493,0.15680473372781065,0.08777120315581854,0.1932938856015779
9,0.16765285996055226,0.08875739644970414,0.15433925049309666,0.015285996055226824,0.021203155818540435,0.059664694280078895,0.09122287968441814,0.1711045364891519,0.08974358974358974,0.21646942800788954
10,0.1849112426035503,0.09516765285996055,0.16715976331360946,0.01824457593688363,0.023175542406311637,0.0650887573964497,0.09911242603550297,0.1898422090729783,0.11932938856015779,0.23816568047337278
11,0.20019723865877712,0.11538461538461539,0.1755424063116371,0.021203155818540435,0.02465483234714004,0.07100591715976332,0.10404339250493097,0.20562130177514792,0.11982248520710059,0.2613412228796844
12,0.21844181459566075,0.11094674556213018,0.1854043392504931,0.022682445759368838,0.026134122287968443,0.07988165680473373,0.11982248520710059,0.22386587771203156,0.13313609467455623,0.28550295857988167
13,0.23964497041420119,0.1178500986193294,0.19625246548323472,0.023175542406311637,0.028599605522682446,0.08777120315581854,0.12179487179487179,0.23865877712031558,0.14299802761341224,0.3086785009861933
14,0.25443786982248523,0.13560157790927022,0.20118343195266272,0.02514792899408284,0.03007889546351085,0.09171597633136094,0.14053254437869822,0.252465483234714,0.14447731755424062,0.3318540433925049
15,0.27071005917159763,0.15779092702169625,0.21203155818540434,0.028106508875739646,0.03254437869822485,0.10009861932938856,0.15138067061143984,0.2682445759368836,0.15877712031558186,0.35650887573964496
16,0.28353057199211046,0.16222879684418146,0.21597633136094674,0.03254437869822485,0.03599605522682446,0.10946745562130178,0.15927021696252466,0.28353057199211046,0.16469428007889547,0.378698224852071
17,0.29191321499013806,0.16863905325443787,0.22140039447731755,0.03648915187376726,0.03698224852071006,0.11735700197238659,0.1755424063116371,0.2953648915187377,0.1878698224852071,0.3989151873767258
18,0.3047337278106509,0.17209072978303747,0.23816568047337278,0.03895463510848126,0.03796844181459566,0.1252465483234714,0.1711045364891519,0.3047337278106509,0.1893491124260355,0.4171597633136095
