,state,random,RNNTestcov,Stellarbscov,Stellarbtcov,testRNNsc,testRNNsc_cam,nc_ctm,nc_cam,my
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011933174224343676
1,0.03579952267303103,0.008353221957040573,0.017899761336515514,0.010739856801909307,0.008353221957040573,0.010739856801909307,0.013126491646778043,0.00954653937947494,0.007159904534606206,0.03579952267303103
2,0.06443914081145585,0.028639618138424822,0.031026252983293555,0.011933174224343675,0.011933174224343675,0.022673031026252982,0.015513126491646777,0.025059665871121718,0.02028639618138425,0.07398568019093078
3,0.09188544152744631,0.027446300715990454,0.045346062052505964,0.015513126491646777,0.02386634844868735,0.027446300715990454,0.031026252983293555,0.03341288782816229,0.025059665871121718,0.10501193317422435
4,0.12052505966587113,0.04295942720763723,0.060859188544152745,0.02386634844868735,0.027446300715990454,0.031026252983293555,0.032219570405727926,0.045346062052505964,0.04295942720763723,0.1360381861575179
5,0.13842482100238662,0.05847255369928401,0.07517899761336516,0.027446300715990454,0.03579952267303103,0.03818615751789976,0.060859188544152745,0.057279236276849645,0.05250596658711217,0.162291169451074
6,0.162291169451074,0.06443914081145585,0.08591885441527446,0.03579952267303103,0.0477326968973747,0.0441527446300716,0.057279236276849645,0.07398568019093078,0.0477326968973747,0.18854415274463007
7,0.18854415274463007,0.07159904534606205,0.10023866348448687,0.0405727923627685,0.05250596658711217,0.04892601431980907,0.0883054892601432,0.0883054892601432,0.07398568019093078,0.2064439140811456
8,0.21241050119331742,0.07040572792362769,0.11813842482100238,0.04892601431980907,0.05847255369928401,0.06324582338902147,0.060859188544152745,0.09785202863961814,0.09665871121718377,0.23269689737470167
9,0.23389021479713604,0.09785202863961814,0.12649164677804295,0.059665871121718374,0.06801909307875895,0.07159904534606205,0.0883054892601432,0.10381861575178998,0.08233890214797136,0.256563245823389
10,0.26014319809069214,0.0954653937947494,0.14200477326968974,0.06443914081145585,0.07398568019093078,0.08233890214797136,0.09188544152744631,0.11217183770883055,0.09785202863961814,0.28162291169451076
11,0.28042959427207637,0.11455847255369929,0.15513126491646778,0.07159904534606205,0.08591885441527446,0.09427207637231504,0.10978520286396182,0.12052505966587113,0.10978520286396182,0.31026252983293556
12,0.29952267303102625,0.11097852028639618,0.16825775656324582,0.07875894988066826,0.0883054892601432,0.10381861575178998,0.11813842482100238,0.13365155131264916,0.12410501193317422,0.3317422434367542
13,0.3162291169451074,0.11336515513126491,0.17899761336515513,0.08233890214797136,0.0954653937947494,0.10978520286396182,0.11813842482100238,0.13961813842482101,0.14081145584725538,0.3460620525059666
14,0.33651551312649164,0.1324582338902148,0.19689737470167065,0.08949880668257756,0.1026252983293556,0.12171837708830549,0.1288782816229117,0.14797136038186157,0.12052505966587113,0.36992840095465396
15,0.35918854415274465,0.15274463007159905,0.21479713603818615,0.09069212410501193,0.10501193317422435,0.1288782816229117,0.13842482100238662,0.15513126491646778,0.14439140811455847,0.3914081145584726
16,0.3711217183770883,0.17541766109785203,0.23031026252983294,0.0954653937947494,0.11336515513126491,0.14081145584725538,0.1658711217183771,0.1658711217183771,0.15990453460620524,0.4105011933174224
17,0.3854415274463007,0.15871121718377088,0.24105011933174225,0.10023866348448687,0.11694510739856802,0.15035799522673032,0.1658711217183771,0.17541766109785203,0.1610978520286396,0.42601431980906923
18,0.4009546539379475,0.2052505966587112,0.256563245823389,0.10620525059665871,0.12291169451073986,0.16706443914081145,0.162291169451074,0.18496420047732698,0.17422434367541767,0.441527446300716
19,0.41766109785202865,0.18854415274463007,0.26610978520286394,0.11455847255369929,0.12649164677804295,0.1718377088305489,0.18138424821002386,0.19331742243436753,0.19451073985680192,0.46539379474940334
20,0.4379474940334129,0.2016706443914081,0.27684964200477324,0.12529832935560858,0.13723150357995226,0.17541766109785203,0.20883054892601433,0.20286396181384247,0.19809069212410502,0.48568019093078757
21,0.4498806682577566,0.21360381861575178,0.2852028639618138,0.1324582338902148,0.1431980906921241,0.18973747016706444,0.20286396181384247,0.21241050119331742,0.22315035799522673,0.5
22,0.46420047732696895,0.24105011933174225,0.2911694510739857,0.13961813842482101,0.15035799522673032,0.19809069212410502,0.21957040572792363,0.22673031026252982,0.20047732696897375,0.5143198090692124
23,0.4797136038186158,0.24463007159904535,0.29594272076372313,0.15035799522673032,0.15632458233890215,0.21479713603818615,0.2315035799522673,0.2315035799522673,0.22315035799522673,0.5346062052505967
24,0.4916467780429594,0.23747016706443913,0.31026252983293556,0.1575178997613365,0.16706443914081145,0.220763723150358,0.24105011933174225,0.23627684964200477,0.23747016706443913,0.5525059665871122
25,0.5035799522673031,0.22673031026252982,0.3233890214797136,0.15990453460620524,0.1766109785202864,0.23031026252983294,0.2315035799522673,0.24701670644391407,0.2553699284009546,0.5739856801909308
26,0.5190930787589498,0.26252983293556087,0.3341288782816229,0.162291169451074,0.18496420047732698,0.2386634844868735,0.26968973747016706,0.2529832935560859,0.2649164677804296,0.594272076372315
27,0.5274463007159904,0.27088305489260145,0.3424821002386635,0.17064439140811455,0.19212410501193317,0.2494033412887828,0.2744630071599045,0.25894988066825775,0.27088305489260145,0.6109785202863962
28,0.5417661097852029,0.27684964200477324,0.3532219570405728,0.17541766109785203,0.19689737470167065,0.26252983293556087,0.28162291169451076,0.26730310262529833,0.2852028639618138,0.6229116945107399
29,0.5501193317422435,0.2684964200477327,0.3627684964200477,0.18138424821002386,0.2052505966587112,0.26968973747016706,0.2935560859188544,0.28162291169451076,0.29832935560859186,0.6312649164677804
30,0.5560859188544153,0.28162291169451076,0.3747016706443914,0.1873508353221957,0.21241050119331742,0.28042959427207637,0.3269689737470167,0.28997613365155134,0.31861575178997614,0.6443914081145584
31,0.5692124105011933,0.30906921241050117,0.38663484486873506,0.19451073985680192,0.21837708830548927,0.2911694510739857,0.315035799522673,0.30071599045346065,0.3353221957040573,0.6575178997613366
32,0.5775656324582339,0.3054892601431981,0.39856801909307876,0.2016706443914081,0.22792362768496421,0.2947494033412888,0.31861575178997614,0.31145584725536996,0.34844868735083534,0.6682577565632458
33,0.5847255369928401,0.3138424821002387,0.40692124105011934,0.21121718377088305,0.23747016706443913,0.3042959427207637,0.324582338902148,0.3198090692124105,0.34009546539379476,0.6873508353221957
34,0.5966587112171837,0.360381861575179,0.41408114558472553,0.21957040572792363,0.2529832935560859,0.30668257756563244,0.3424821002386635,0.32577565632458233,0.3496420047732697,0.7052505966587113
35,0.6109785202863962,0.3639618138424821,0.418854415274463,0.2243436754176611,0.2649164677804296,0.3233890214797136,0.3412887828162291,0.3317422434367542,0.34725536992840095,0.7183770883054893
36,0.6181384248210023,0.3556085918854415,0.4331742243436754,0.23269689737470167,0.26730310262529833,0.32935560859188545,0.3317422434367542,0.3436754176610978,0.360381861575179,0.7279236276849642
37,0.6288782816229117,0.3341288782816229,0.4439140811455847,0.2398568019093079,0.27684964200477324,0.33651551312649164,0.37828162291169454,0.35083532219570407,0.4045346062052506,0.7374701670644391
38,0.636038186157518,0.3914081145584726,0.4522673031026253,0.25059665871121717,0.2852028639618138,0.3460620525059666,0.38782816229116945,0.360381861575179,0.383054892601432,0.7458233890214797
39,0.6455847255369929,0.35918854415274465,0.4606205250596659,0.25894988066825775,0.301909307875895,0.35799522673031026,0.3914081145584726,0.36873508353221957,0.3914081145584726,0.7553699284009546
40,0.6503579952267303,0.38902147971360385,0.4618138424821002,0.26730310262529833,0.31742243436754175,0.36634844868735084,0.41408114558472553,0.3794749403341289,0.37828162291169454,0.766109785202864
