,dis_w10,dis_w20,dis_w50,state_w10,state_w20,state_w50,random10,random20,random50,RNNTestcov10,RNNTestcov20,RNNTestcov50,Stellarbscov10,Stellarbscov20,Stellarbscov50,Stellarbtcov10,Stellarbtcov20,Stellarbtcov50,testRNNsc10,testRNNsc20,testRNNsc50,testRNNsc_cam10,testRNNsc_cam20,testRNNsc_cam50,nc_ctm10,nc_ctm20,nc_ctm50,nc_cam10,nc_cam20,nc_cam50
0,0.81,0.7658333333333334,0.523,0.62,0.5508333333333333,0.4553333333333333,0.31666666666666665,0.3591666666666667,0.33666666666666667,0.55,0.415,0.35533333333333333,0.07166666666666667,0.08416666666666667,0.14566666666666667,0.06833333333333333,0.07333333333333333,0.13966666666666666,0.21166666666666667,0.21333333333333335,0.22233333333333333,0.3233333333333333,0.3416666666666667,0.339,0.63,0.5641666666666667,0.386,0.3333333333333333,0.35583333333333333,0.3486666666666667
1,0.805,0.7708333333333334,0.529,0.6666666666666666,0.5866666666666667,0.46066666666666667,0.33166666666666667,0.3408333333333333,0.3403333333333333,0.5566666666666666,0.425,0.37733333333333335,0.06833333333333333,0.09,0.14533333333333334,0.07333333333333333,0.0625,0.131,0.18666666666666668,0.215,0.22333333333333333,0.3416666666666667,0.3416666666666667,0.33566666666666667,0.6666666666666666,0.5708333333333333,0.39666666666666667,0.37,0.355,0.339
2,0.8033333333333333,0.7691666666666667,0.5346666666666666,0.6616666666666666,0.5766666666666667,0.46266666666666667,0.35833333333333334,0.3308333333333333,0.3363333333333333,0.5266666666666666,0.42833333333333334,0.363,0.06833333333333333,0.07833333333333334,0.158,0.065,0.06666666666666667,0.137,0.25333333333333335,0.225,0.22966666666666666,0.3233333333333333,0.3441666666666667,0.3333333333333333,0.6583333333333333,0.5708333333333333,0.394,0.3933333333333333,0.3491666666666667,0.3433333333333333
3,0.8166666666666667,0.7733333333333333,0.5346666666666666,0.6566666666666666,0.585,0.46066666666666667,0.35,0.3475,0.3343333333333333,0.565,0.45,0.36666666666666664,0.06166666666666667,0.08416666666666667,0.149,0.08,0.07416666666666667,0.135,0.21166666666666667,0.2175,0.234,0.3616666666666667,0.33916666666666667,0.3446666666666667,0.6683333333333333,0.5875,0.4023333333333333,0.38166666666666665,0.3625,0.3413333333333333
4,0.7966666666666666,0.7633333333333333,0.52,0.5983333333333334,0.5341666666666667,0.441,0.33666666666666667,0.32,0.3283333333333333,0.5233333333333333,0.4075,0.3496666666666667,0.05,0.07083333333333333,0.14066666666666666,0.065,0.065,0.12766666666666668,0.25166666666666665,0.22166666666666668,0.221,0.325,0.31833333333333336,0.33366666666666667,0.6283333333333333,0.5416666666666666,0.38033333333333336,0.36666666666666664,0.3466666666666667,0.3383333333333333
5,0.82,0.7775,0.5333333333333333,0.6466666666666666,0.57,0.45466666666666666,0.3283333333333333,0.3416666666666667,0.3363333333333333,0.5383333333333333,0.43083333333333335,0.37333333333333335,0.06833333333333333,0.07916666666666666,0.145,0.065,0.07166666666666667,0.13633333333333333,0.21,0.21166666666666667,0.223,0.33,0.3233333333333333,0.33766666666666667,0.65,0.5691666666666667,0.3913333333333333,0.375,0.3466666666666667,0.337
6,0.8083333333333333,0.7616666666666667,0.5263333333333333,0.6566666666666666,0.5791666666666667,0.44566666666666666,0.32,0.3258333333333333,0.3363333333333333,0.5883333333333334,0.4475,0.3526666666666667,0.05,0.06333333333333334,0.14133333333333334,0.056666666666666664,0.065,0.131,0.22166666666666668,0.23,0.227,0.335,0.31583333333333335,0.3413333333333333,0.66,0.565,0.39466666666666667,0.39,0.34,0.35033333333333333
7,0.8266666666666667,0.7775,0.528,0.635,0.5683333333333334,0.451,0.34,0.3175,0.3253333333333333,0.51,0.39916666666666667,0.3536666666666667,0.075,0.08416666666666667,0.14433333333333334,0.075,0.06583333333333333,0.126,0.23166666666666666,0.23083333333333333,0.23366666666666666,0.37166666666666665,0.3258333333333333,0.333,0.61,0.5608333333333333,0.39,0.3566666666666667,0.3516666666666667,0.3443333333333333
8,0.8233333333333334,0.7858333333333334,0.5333333333333333,0.6383333333333333,0.565,0.4573333333333333,0.3383333333333333,0.3433333333333333,0.34,0.5416666666666666,0.43,0.3536666666666667,0.05333333333333334,0.0725,0.13433333333333333,0.06833333333333333,0.06833333333333333,0.128,0.2,0.21333333333333335,0.22866666666666666,0.31,0.33916666666666667,0.3416666666666667,0.65,0.5625,0.391,0.345,0.3575,0.3396666666666667
9,0.82,0.7841666666666667,0.5313333333333333,0.6466666666666666,0.5783333333333334,0.4676666666666667,0.3433333333333333,0.34833333333333333,0.3396666666666667,0.575,0.43333333333333335,0.36433333333333334,0.041666666666666664,0.08,0.14766666666666667,0.08166666666666667,0.07416666666666667,0.13966666666666666,0.225,0.22083333333333333,0.229,0.35333333333333333,0.32666666666666666,0.3463333333333333,0.6366666666666667,0.5633333333333334,0.39666666666666667,0.38166666666666665,0.3625,0.344
10,0.805,0.7691666666666667,0.529,0.625,0.5591666666666667,0.44666666666666666,0.35,0.335,0.344,0.56,0.42583333333333334,0.36966666666666664,0.06166666666666667,0.0775,0.139,0.07833333333333334,0.06916666666666667,0.12766666666666668,0.22,0.23583333333333334,0.222,0.35333333333333333,0.3358333333333333,0.333,0.6416666666666667,0.5583333333333333,0.3933333333333333,0.39166666666666666,0.35833333333333334,0.347
11,0.8183333333333334,0.7766666666666666,0.534,0.6533333333333333,0.5808333333333333,0.46266666666666667,0.335,0.3383333333333333,0.357,0.5466666666666666,0.41583333333333333,0.35633333333333334,0.06333333333333334,0.07583333333333334,0.145,0.07666666666666666,0.07333333333333333,0.142,0.23833333333333334,0.22666666666666666,0.236,0.3616666666666667,0.3375,0.3406666666666667,0.6383333333333333,0.555,0.401,0.36,0.3675,0.326
12,0.8233333333333334,0.7941666666666667,0.5443333333333333,0.6833333333333333,0.5966666666666667,0.465,0.3233333333333333,0.365,0.35,0.58,0.4425,0.37233333333333335,0.07833333333333334,0.08666666666666667,0.15566666666666668,0.07666666666666666,0.07833333333333334,0.146,0.22166666666666668,0.21416666666666667,0.23333333333333334,0.36666666666666664,0.3616666666666667,0.344,0.6533333333333333,0.5858333333333333,0.4036666666666667,0.36833333333333335,0.36,0.3476666666666667
13,0.8183333333333334,0.7825,0.5303333333333333,0.6583333333333333,0.5791666666666667,0.456,0.31666666666666665,0.3475,0.329,0.5366666666666666,0.42083333333333334,0.368,0.06166666666666667,0.07,0.149,0.07166666666666667,0.07,0.13833333333333334,0.215,0.21833333333333332,0.23266666666666666,0.3416666666666667,0.3333333333333333,0.336,0.6383333333333333,0.5641666666666667,0.38766666666666666,0.3466666666666667,0.3641666666666667,0.35
14,0.8216666666666667,0.7716666666666666,0.5386666666666666,0.6266666666666667,0.5716666666666667,0.461,0.3283333333333333,0.3475,0.3433333333333333,0.53,0.43333333333333335,0.36966666666666664,0.04666666666666667,0.06833333333333333,0.149,0.07333333333333333,0.07083333333333333,0.12433333333333334,0.24333333333333335,0.23333333333333334,0.23533333333333334,0.36666666666666664,0.3433333333333333,0.3416666666666667,0.6933333333333334,0.5816666666666667,0.3953333333333333,0.4116666666666667,0.35333333333333333,0.3446666666666667
15,0.8083333333333333,0.7766666666666666,0.5283333333333333,0.6816666666666666,0.5833333333333334,0.45866666666666667,0.37,0.3375,0.33166666666666667,0.5383333333333333,0.43583333333333335,0.36333333333333334,0.075,0.085,0.15666666666666668,0.06833333333333333,0.07416666666666667,0.13866666666666666,0.235,0.23833333333333334,0.23133333333333334,0.32,0.33916666666666667,0.3373333333333333,0.6366666666666667,0.5708333333333333,0.39466666666666667,0.365,0.35833333333333334,0.341
16,0.8016666666666666,0.7558333333333334,0.518,0.62,0.5675,0.447,0.3883333333333333,0.3333333333333333,0.33666666666666667,0.555,0.41833333333333333,0.36,0.065,0.07666666666666666,0.15666666666666668,0.08166666666666667,0.08,0.13733333333333334,0.20333333333333334,0.20333333333333334,0.21533333333333332,0.3,0.33666666666666667,0.33,0.6666666666666666,0.5641666666666667,0.399,0.3416666666666667,0.3458333333333333,0.3413333333333333
17,0.825,0.7766666666666666,0.536,0.6483333333333333,0.575,0.46066666666666667,0.34833333333333333,0.3441666666666667,0.3496666666666667,0.5433333333333333,0.43666666666666665,0.3626666666666667,0.056666666666666664,0.08916666666666667,0.15466666666666667,0.06166666666666667,0.07,0.14333333333333334,0.21333333333333335,0.215,0.22966666666666666,0.315,0.32916666666666666,0.349,0.6583333333333333,0.5733333333333334,0.39766666666666667,0.395,0.36583333333333334,0.352
18,0.8266666666666667,0.7916666666666666,0.5273333333333333,0.6666666666666666,0.5783333333333334,0.4633333333333333,0.32166666666666666,0.3358333333333333,0.3436666666666667,0.5716666666666667,0.4533333333333333,0.36833333333333335,0.06166666666666667,0.06916666666666667,0.141,0.07166666666666667,0.06583333333333333,0.12766666666666668,0.21666666666666667,0.21416666666666667,0.22766666666666666,0.355,0.3358333333333333,0.33666666666666667,0.645,0.5733333333333334,0.3873333333333333,0.365,0.3575,0.3423333333333333
19,0.81,0.7716666666666666,0.5376666666666666,0.6533333333333333,0.5683333333333334,0.463,0.33666666666666667,0.33,0.3436666666666667,0.5533333333333333,0.4575,0.368,0.056666666666666664,0.08583333333333333,0.15566666666666668,0.07666666666666666,0.07083333333333333,0.141,0.21833333333333332,0.22666666666666666,0.234,0.33,0.32666666666666666,0.3436666666666667,0.625,0.5691666666666667,0.3973333333333333,0.375,0.3675,0.33566666666666667
20,0.8233333333333334,0.7741666666666667,0.5226666666666666,0.6333333333333333,0.5733333333333334,0.457,0.34,0.35,0.3416666666666667,0.51,0.4241666666666667,0.36033333333333334,0.06166666666666667,0.08,0.142,0.07166666666666667,0.07416666666666667,0.134,0.215,0.20916666666666667,0.227,0.335,0.33166666666666667,0.3333333333333333,0.6433333333333333,0.5791666666666667,0.39,0.37666666666666665,0.36583333333333334,0.353
21,0.7983333333333333,0.755,0.5276666666666666,0.645,0.5616666666666666,0.44633333333333336,0.3333333333333333,0.3491666666666667,0.336,0.5666666666666667,0.44416666666666665,0.36766666666666664,0.04,0.0725,0.145,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.22666666666666666,0.2075,0.225,0.34833333333333333,0.33666666666666667,0.344,0.67,0.5725,0.395,0.35,0.35,0.3343333333333333
22,0.8,0.7691666666666667,0.531,0.6433333333333333,0.5775,0.45,0.33166666666666667,0.3375,0.33566666666666667,0.5583333333333333,0.4425,0.35933333333333334,0.04666666666666667,0.0725,0.143,0.07,0.07,0.129,0.20666666666666667,0.20166666666666666,0.223,0.3416666666666667,0.33416666666666667,0.33366666666666667,0.6583333333333333,0.5625,0.3933333333333333,0.35,0.35833333333333334,0.3436666666666667
23,0.815,0.765,0.5303333333333333,0.64,0.5725,0.4543333333333333,0.3616666666666667,0.3491666666666667,0.32566666666666666,0.5483333333333333,0.4225,0.3596666666666667,0.043333333333333335,0.07583333333333334,0.14833333333333334,0.07833333333333334,0.06833333333333333,0.13466666666666666,0.19833333333333333,0.21083333333333334,0.222,0.36666666666666664,0.32416666666666666,0.33766666666666667,0.6633333333333333,0.5633333333333334,0.3913333333333333,0.35,0.3541666666666667,0.3466666666666667
24,0.825,0.7766666666666666,0.533,0.645,0.5691666666666667,0.453,0.31833333333333336,0.32916666666666666,0.33766666666666667,0.5633333333333334,0.41833333333333333,0.363,0.043333333333333335,0.08416666666666667,0.147,0.075,0.0775,0.13966666666666666,0.22666666666666666,0.22666666666666666,0.23533333333333334,0.34,0.3333333333333333,0.341,0.64,0.5566666666666666,0.3863333333333333,0.33666666666666667,0.3475,0.3393333333333333
25,0.825,0.775,0.5346666666666666,0.6433333333333333,0.5558333333333333,0.4583333333333333,0.35333333333333333,0.3625,0.33366666666666667,0.5566666666666666,0.44333333333333336,0.36333333333333334,0.056666666666666664,0.08916666666666667,0.15033333333333335,0.065,0.0725,0.135,0.22,0.21166666666666667,0.22666666666666666,0.34833333333333333,0.35583333333333333,0.3416666666666667,0.635,0.5625,0.395,0.38,0.35,0.3473333333333333
