,dis_w10,dis_w20,dis_w50,state_w10,state_w20,state_w50,random10,random20,random50,RNNTestcov10,RNNTestcov20,RNNTestcov50,Stellarbscov10,Stellarbscov20,Stellarbscov50,Stellarbtcov10,Stellarbtcov20,Stellarbtcov50,testRNNsc10,testRNNsc20,testRNNsc50,testRNNsc_cam10,testRNNsc_cam20,testRNNsc_cam50,nc_ctm10,nc_ctm20,nc_ctm50,nc_cam10,nc_cam20,nc_cam50
0,0.705,0.6541666666666667,0.5003333333333333,0.6133333333333333,0.5608333333333333,0.4026666666666667,0.3466666666666667,0.33916666666666667,0.3413333333333333,0.355,0.3458333333333333,0.337,0.21333333333333335,0.24333333333333335,0.26,0.26166666666666666,0.2625,0.266,0.24166666666666667,0.245,0.275,0.3516666666666667,0.32916666666666666,0.3443333333333333,0.5033333333333333,0.47333333333333333,0.401,0.345,0.3466666666666667,0.3506666666666667
1,0.715,0.6783333333333333,0.51,0.6433333333333333,0.5825,0.4093333333333333,0.3283333333333333,0.35833333333333334,0.3506666666666667,0.39,0.36333333333333334,0.35,0.24333333333333335,0.2525,0.2743333333333333,0.27,0.25666666666666665,0.276,0.25166666666666665,0.2525,0.28733333333333333,0.3616666666666667,0.3466666666666667,0.333,0.5333333333333333,0.49166666666666664,0.4026666666666667,0.34833333333333333,0.3233333333333333,0.347
2,0.7016666666666667,0.6483333333333333,0.5126666666666667,0.6383333333333333,0.5741666666666667,0.414,0.37666666666666665,0.355,0.35333333333333333,0.37166666666666665,0.35333333333333333,0.345,0.235,0.245,0.275,0.2816666666666667,0.2658333333333333,0.278,0.28,0.25583333333333336,0.288,0.33666666666666667,0.35083333333333333,0.348,0.53,0.4825,0.4076666666666667,0.315,0.3375,0.3373333333333333
3,0.745,0.6791666666666667,0.5063333333333333,0.67,0.5875,0.419,0.37666666666666665,0.35,0.337,0.38666666666666666,0.37333333333333335,0.35433333333333333,0.23,0.25083333333333335,0.273,0.28,0.2658333333333333,0.276,0.21166666666666667,0.21583333333333332,0.272,0.31833333333333336,0.3441666666666667,0.3413333333333333,0.515,0.4791666666666667,0.39466666666666667,0.3416666666666667,0.3516666666666667,0.351
4,0.7483333333333333,0.6858333333333333,0.519,0.645,0.5833333333333334,0.4146666666666667,0.3433333333333333,0.345,0.349,0.36333333333333334,0.3416666666666667,0.3486666666666667,0.25666666666666665,0.2608333333333333,0.2786666666666667,0.3,0.2783333333333333,0.28,0.24333333333333335,0.24,0.2813333333333333,0.345,0.3616666666666667,0.338,0.495,0.47833333333333333,0.404,0.355,0.3541666666666667,0.3516666666666667
5,0.7133333333333334,0.6675,0.5296666666666666,0.6616666666666666,0.5983333333333334,0.423,0.36833333333333335,0.33666666666666667,0.36033333333333334,0.37666666666666665,0.385,0.36133333333333334,0.23833333333333334,0.24833333333333332,0.2796666666666667,0.2866666666666667,0.2708333333333333,0.281,0.245,0.26,0.2796666666666667,0.335,0.30833333333333335,0.3556666666666667,0.5116666666666667,0.49083333333333334,0.4063333333333333,0.37666666666666665,0.3308333333333333,0.348
6,0.765,0.685,0.522,0.6383333333333333,0.5825,0.41333333333333333,0.35833333333333334,0.35083333333333333,0.345,0.37166666666666665,0.3416666666666667,0.356,0.23,0.24166666666666667,0.26966666666666667,0.2833333333333333,0.2675,0.268,0.23166666666666666,0.22833333333333333,0.27,0.33666666666666667,0.34,0.348,0.5166666666666667,0.49083333333333334,0.403,0.35333333333333333,0.3491666666666667,0.346
7,0.705,0.6633333333333333,0.508,0.6416666666666667,0.5775,0.41333333333333333,0.3233333333333333,0.3375,0.348,0.335,0.3541666666666667,0.34833333333333333,0.23,0.2475,0.265,0.2633333333333333,0.25083333333333335,0.2633333333333333,0.24166666666666667,0.2375,0.279,0.30666666666666664,0.3283333333333333,0.3416666666666667,0.49666666666666665,0.4716666666666667,0.39966666666666667,0.345,0.3308333333333333,0.3436666666666667
8,0.72,0.665,0.5106666666666667,0.63,0.5608333333333333,0.4076666666666667,0.355,0.3516666666666667,0.3546666666666667,0.34833333333333333,0.355,0.3526666666666667,0.23166666666666666,0.24416666666666667,0.26766666666666666,0.2816666666666667,0.26666666666666666,0.268,0.2633333333333333,0.25833333333333336,0.2753333333333333,0.345,0.36333333333333334,0.3476666666666667,0.49833333333333335,0.4708333333333333,0.3893333333333333,0.32166666666666666,0.3225,0.3396666666666667
9,0.6816666666666666,0.65,0.5013333333333333,0.615,0.5641666666666667,0.4023333333333333,0.325,0.33916666666666667,0.348,0.37333333333333335,0.3416666666666667,0.338,0.22666666666666666,0.23666666666666666,0.26866666666666666,0.27,0.2525,0.2693333333333333,0.255,0.26,0.275,0.345,0.3591666666666667,0.3403333333333333,0.4766666666666667,0.4625,0.38233333333333336,0.3466666666666667,0.3425,0.3333333333333333
