,dis_w10,dis_w20,dis_w50,state_w10,state_w20,state_w50,random10,random20,random50,RNNTestcov10,RNNTestcov20,RNNTestcov50,Stellarbscov10,Stellarbscov20,Stellarbscov50,Stellarbtcov10,Stellarbtcov20,Stellarbtcov50,testRNNsc10,testRNNsc20,testRNNsc50,testRNNsc_cam10,testRNNsc_cam20,testRNNsc_cam50,nc_ctm10,nc_ctm20,nc_ctm50,nc_cam10,nc_cam20,nc_cam50
0,0.7533333333333333,0.675,0.5116666666666667,0.645,0.6058333333333333,0.4003333333333333,0.3416666666666667,0.335,0.3576666666666667,0.4083333333333333,0.38666666666666666,0.3556666666666667,0.23666666666666666,0.24916666666666668,0.284,0.25166666666666665,0.26,0.29333333333333333,0.21333333333333335,0.22916666666666666,0.25466666666666665,0.3016666666666667,0.3575,0.3526666666666667,0.11666666666666667,0.185,0.268,0.3283333333333333,0.3475,0.35833333333333334
1,0.7866666666666666,0.6991666666666667,0.532,0.6766666666666666,0.6208333333333333,0.4126666666666667,0.3883333333333333,0.34833333333333333,0.35133333333333333,0.43333333333333335,0.385,0.354,0.23333333333333334,0.24416666666666667,0.2906666666666667,0.25,0.2683333333333333,0.29,0.23166666666666666,0.24166666666666667,0.26166666666666666,0.37166666666666665,0.36083333333333334,0.3626666666666667,0.12,0.19333333333333333,0.26666666666666666,0.3333333333333333,0.36833333333333335,0.35633333333333334
2,0.76,0.6825,0.5273333333333333,0.67,0.6191666666666666,0.4216666666666667,0.365,0.35,0.3576666666666667,0.435,0.385,0.368,0.22666666666666666,0.2475,0.3,0.255,0.265,0.31166666666666665,0.24166666666666667,0.24333333333333335,0.26866666666666666,0.355,0.3575,0.3556666666666667,0.115,0.19083333333333333,0.265,0.37833333333333335,0.335,0.34933333333333333
3,0.785,0.6858333333333333,0.5203333333333333,0.6766666666666666,0.6225,0.4083333333333333,0.37333333333333335,0.35,0.3453333333333333,0.44166666666666665,0.39416666666666667,0.36866666666666664,0.21166666666666667,0.23083333333333333,0.29433333333333334,0.25,0.25333333333333335,0.29933333333333334,0.22333333333333333,0.22083333333333333,0.25333333333333335,0.36333333333333334,0.35,0.3626666666666667,0.13666666666666666,0.1975,0.26866666666666666,0.3516666666666667,0.35583333333333333,0.35033333333333333
4,0.7433333333333333,0.6883333333333334,0.521,0.6616666666666666,0.61,0.412,0.35,0.3616666666666667,0.3433333333333333,0.4266666666666667,0.37083333333333335,0.364,0.22166666666666668,0.24333333333333335,0.284,0.255,0.2575,0.29033333333333333,0.22166666666666668,0.22916666666666666,0.26066666666666666,0.34833333333333333,0.3416666666666667,0.348,0.12166666666666667,0.18666666666666668,0.26866666666666666,0.3616666666666667,0.33666666666666667,0.3556666666666667
5,0.7716666666666666,0.6866666666666666,0.536,0.6783333333333333,0.6216666666666667,0.4246666666666667,0.3566666666666667,0.3525,0.36866666666666664,0.44166666666666665,0.39166666666666666,0.36933333333333335,0.24666666666666667,0.26666666666666666,0.29833333333333334,0.24,0.265,0.31,0.235,0.23916666666666667,0.277,0.3516666666666667,0.37416666666666665,0.36033333333333334,0.11,0.1825,0.2713333333333333,0.35833333333333334,0.37,0.36533333333333334
6,0.7733333333333333,0.6975,0.5416666666666666,0.6916666666666667,0.6308333333333334,0.42633333333333334,0.37333333333333335,0.36333333333333334,0.35733333333333334,0.41833333333333333,0.38666666666666666,0.37,0.22,0.24916666666666668,0.29633333333333334,0.24333333333333335,0.27,0.313,0.225,0.23083333333333333,0.2623333333333333,0.36666666666666664,0.36833333333333335,0.356,0.12166666666666667,0.19833333333333333,0.26866666666666666,0.34833333333333333,0.3408333333333333,0.367
7,0.7566666666666667,0.69,0.517,0.67,0.6075,0.408,0.32,0.3616666666666667,0.35333333333333333,0.39666666666666667,0.37833333333333335,0.353,0.23,0.24166666666666667,0.2826666666666667,0.235,0.2625,0.293,0.225,0.22416666666666665,0.24833333333333332,0.32166666666666666,0.3458333333333333,0.3453333333333333,0.135,0.1925,0.256,0.3516666666666667,0.35333333333333333,0.3456666666666667
8,0.7566666666666667,0.6883333333333334,0.527,0.6633333333333333,0.625,0.413,0.305,0.32416666666666666,0.353,0.405,0.3775,0.3616666666666667,0.24166666666666667,0.25166666666666665,0.2976666666666667,0.25833333333333336,0.27,0.29833333333333334,0.21666666666666667,0.22666666666666666,0.25633333333333336,0.3416666666666667,0.3516666666666667,0.3446666666666667,0.12166666666666667,0.17666666666666667,0.25333333333333335,0.37333333333333335,0.3566666666666667,0.36133333333333334
9,0.7383333333333333,0.6725,0.518,0.6416666666666667,0.5925,0.4046666666666667,0.3516666666666667,0.3575,0.35633333333333334,0.4216666666666667,0.3875,0.3536666666666667,0.24333333333333335,0.24666666666666667,0.2816666666666667,0.25166666666666665,0.2708333333333333,0.29533333333333334,0.235,0.22916666666666666,0.25533333333333336,0.365,0.36083333333333334,0.3436666666666667,0.12333333333333334,0.18416666666666667,0.2613333333333333,0.3516666666666667,0.35333333333333333,0.3463333333333333
